Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-08-05,2016,8,5,Friday,31,2016-31,96.29,96.94,96.09,96.88,2632200,93.57,0.010113483071017892,91.16285714285713,90.0364
2016-08-08,2016,8,8,Monday,32,2016-32,97.0,97.1,96.63,96.78,2873000,93.47,-0.001032075467236715,91.46571428571428,90.04800000000002
2016-08-09,2016,8,9,Tuesday,32,2016-32,96.63,97.14,96.55,96.7,1937100,93.4,-0.0008267256091255559,91.70071428571428,90.0428
2016-08-10,2016,8,10,Wednesday,32,2016-32,96.72,96.82,96.23,96.29,2004700,93.0,-0.004239974121495016,91.965,90.0542
2016-08-11,2016,8,11,Thursday,32,2016-32,96.5,96.92,96.17,96.53,2971100,93.23,0.002492388174978988,92.16285714285713,90.06040000000002
2016-08-12,2016,8,12,Friday,32,2016-32,95.96,96.41,95.51,96.12,1988600,92.84,-0.004247441776578764,92.37857142857145,90.04979999999999
2016-08-15,2016,8,15,Monday,33,2016-33,96.31,96.56,96.07,96.44,2081200,93.15,0.0033294456654584526,92.58642857142857,90.0618
2016-08-16,2016,8,16,Tuesday,33,2016-33,96.2,96.26,95.46,95.62,2866200,92.35,-0.008502809342622486,92.715,90.04599999999999
2016-08-17,2016,8,17,Wednesday,33,2016-33,95.79,96.07,95.03,95.59,4054700,92.33,-0.00031391737826780286,92.68642857142856,90.029
2016-08-18,2016,8,18,Thursday,33,2016-33,95.3,95.87,95.07,95.27,3134200,92.02,-0.00334741006252548,92.68857142857142,89.9806
2016-08-19,2016,8,19,Friday,33,2016-33,95.18,95.29,94.41,95.22,3090800,91.97,-0.0005248413287755049,92.69928571428571,89.95
2016-08-22,2016,8,22,Monday,34,2016-34,95.19,95.95,94.95,95.79,2390800,92.52,0.0059861671092968916,92.73642857142856,89.96519999999998
2016-08-23,2016,8,23,Tuesday,34,2016-34,96.0,96.76,95.99,96.29,3099700,93.0,0.0052196746034220975,92.82000000000001,90.00959999999999
2016-08-24,2016,8,24,Wednesday,34,2016-34,96.29,96.47,95.39,95.53,2008100,92.27,-0.007892753969162225,92.7942857142857,90.041
2016-08-25,2016,8,25,Thursday,34,2016-34,95.47,95.81,95.33,95.59,1983000,92.33,0.0006278474012466617,92.70571428571428,90.08840000000001
2016-08-26,2016,8,26,Friday,34,2016-34,95.84,97.0,95.77,96.47,3123100,93.18,0.00920645193704872,92.68499999999999,90.13860000000001
2016-08-29,2016,8,29,Monday,35,2016-35,96.45,96.85,96.23,96.78,2590200,93.47,0.003213292778848631,92.69000000000001,90.2098
2016-08-30,2016,8,30,Tuesday,35,2016-35,96.79,97.19,96.34,97.09,2634100,93.77,0.0032030822198165776,92.745,90.2666
2016-08-31,2016,8,31,Wednesday,35,2016-35,96.81,97.09,96.13,96.63,3499300,93.33,-0.0047380266504643,92.75214285714286,90.3
2016-09-01,2016,9,1,Thursday,35,2016-35,96.67,97.7,96.51,97.62,4198100,94.29,0.010245437795620482,92.85571428571428,90.37280000000001
2016-09-02,2016,9,2,Friday,35,2016-35,97.4,98.1,97.37,97.89,2572400,94.55,0.002765835950267803,92.9557142857143,90.419
2016-09-06,2016,9,6,Tuesday,36,2016-36,97.81,98.91,97.69,98.79,3879300,95.42,0.009194050903492235,93.17499999999998,90.5642
2016-09-07,2016,9,7,Wednesday,36,2016-36,98.49,99.6,98.26,99.57,4198200,96.17,0.007895313178277297,93.44928571428571,90.77080000000002
2016-09-08,2016,9,8,Thursday,36,2016-36,99.45,100.67,99.39,99.98,4605400,96.57,0.0041179203831704925,93.77428571428571,90.9594
2016-09-09,2016,9,9,Friday,36,2016-36,99.08,99.69,98.15,98.15,5458500,94.8,-0.018303703483653733,93.97642857142857,91.07960000000001
2016-09-12,2016,9,12,Monday,37,2016-37,97.54,100.32,97.49,100.11,4264300,96.69,0.019969119669128954,94.27428571428571,91.316
2016-09-13,2016,9,13,Tuesday,37,2016-37,99.35,100.06,98.98,99.39,4732200,96.0,-0.007191694107764435,94.48857142857142,91.5234
2016-09-14,2016,9,14,Wednesday,37,2016-37,99.34,99.63,98.38,98.71,4400300,95.34,-0.006842036453401201,94.70785714285715,91.7294
2016-09-15,2016,9,15,Thursday,37,2016-37,98.57,99.82,98.45,99.47,3485700,96.07,0.00769941380936201,94.97500000000001,91.97359999999999
2016-09-16,2016,9,16,Friday,37,2016-37,99.05,99.69,98.59,99.36,4498800,95.97,-0.0011055795954573178,95.17428571428572,92.1968
2016-09-19,2016,9,19,Monday,38,2016-38,99.95,100.39,99.42,99.68,3056900,96.28,0.0032203983792113977,95.375,92.41159999999999
2016-09-20,2016,9,20,Tuesday,38,2016-38,100.25,100.92,100.01,100.49,3848700,97.06,0.00812595153559581,95.61,92.6384
2016-09-21,2016,9,21,Wednesday,38,2016-38,100.81,101.31,99.97,101.26,3251900,97.8,0.007662547326920288,95.92928571428571,92.8558
2016-09-22,2016,9,22,Thursday,38,2016-38,101.57,102.23,101.51,102.12,3390600,98.63,0.008492953248348645,96.23928571428571,93.08339999999998
2016-09-23,2016,9,23,Friday,38,2016-38,101.92,102.1,101.25,101.66,2759400,98.19,-0.004504419487359579,96.49928571428572,93.28059999999999
2016-09-26,2016,9,26,Monday,39,2016-39,100.82,101.83,100.75,101.16,3468900,97.71,-0.004918360025539026,96.66285714285713,93.47840000000001
2016-09-27,2016,9,27,Tuesday,39,2016-39,101.0,101.65,100.56,101.45,3547700,97.99,0.002866761009832741,96.79285714285713,93.66879999999999
